"REF_DATE","GEO","DGUID","Economic family type","Income source","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017","Newfoundland and Labrador","2021A000210","Economic families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96418591","3.2.1.4","98200","B","","","0"
"2018","Newfoundland and Labrador","2021A000210","Economic families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96418591","3.2.1.4","99100","A","","","0"
"2019","Newfoundland and Labrador","2021A000210","Economic families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96418591","3.2.1.4","99100","C","","","0"
"2020","Newfoundland and Labrador","2021A000210","Economic families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96418591","3.2.1.4","109200","A","","","0"
"2021","Newfoundland and Labrador","2021A000210","Economic families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96418591","3.2.1.4","103000","B","","","0"
"2022","Newfoundland and Labrador","2021A000210","Economic families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96418591","3.2.1.4","105700","A","","","0"
"2023","Newfoundland and Labrador","2021A000210","Economic families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96418591","3.2.1.4","103900","A","","","0"
"2015","Newfoundland and Labrador","2021A000210","Persons not in an economic family","Total income","Number with income","Number","223","thousands","3","v96419188","3.12.1.1","72","A","","","0"
"2016","Newfoundland and Labrador","2021A000210","Persons not in an economic family","Total income","Number with income","Number","223","thousands","3","v96419188","3.12.1.1","74","A","","","0"
"2017","Newfoundland and Labrador","2021A000210","Persons not in an economic family","Total income","Number with income","Number","223","thousands","3","v96419188","3.12.1.1","75","A","","","0"
"2018","Newfoundland and Labrador","2021A000210","Persons not in an economic family","Total income","Number with income","Number","223","thousands","3","v96419188","3.12.1.1","77","A","","","0"
"2019","Newfoundland and Labrador","2021A000210","Persons not in an economic family","Total income","Number with income","Number","223","thousands","3","v96419188","3.12.1.1","78","A","","","0"
"2020","Newfoundland and Labrador","2021A000210","Persons not in an economic family","Total income","Number with income","Number","223","thousands","3","v96419188","3.12.1.1","79","A","","","0"
"2021","Newfoundland and Labrador","2021A000210","Persons not in an economic family","Total income","Number with income","Number","223","thousands","3","v96419188","3.12.1.1","80","A","","","0"
"2022","Newfoundland and Labrador","2021A000210","Persons not in an economic family","Total income","Number with income","Number","223","thousands","3","v96419188","3.12.1.1","83","A","","","0"
"2023","Newfoundland and Labrador","2021A000210","Persons not in an economic family","Total income","Number with income","Number","223","thousands","3","v96419188","3.12.1.1","85","A","","","0"
"2015","Newfoundland and Labrador","2021A000210","Persons not in an economic family","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96419189","3.12.1.2","3144","C","","","0"
"2016","Newfoundland and Labrador","2021A000210","Persons not in an economic family","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96419189","3.12.1.2","3732","C","","","0"
"2017","Newfoundland and Labrador","2021A000210","Persons not in an economic family","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96419189","3.12.1.2","3225","C","","","0"
"2018","Newfoundland and Labrador","2021A000210","Persons not in an economic family","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96419189","3.12.1.2","3382","B","","","0"
"2019","Newfoundland and Labrador","2021A000210","Persons not in an economic family","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96419189","3.12.1.2","3604","C","","","0"
"2020","Newfoundland and Labrador","2021A000210","Persons not in an economic family","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96419189","3.12.1.2","3887","B","","","0"
"2021","Newfoundland and Labrador","2021A000210","Persons not in an economic family","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96419189","3.12.1.2","4336","C","","","0"
"2022","Newfoundland and Labrador","2021A000210","Persons not in an economic family","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96419189","3.12.1.2","3809","B","","","0"
"2023","Newfoundland and Labrador","2021A000210","Persons not in an economic family","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96419189","3.12.1.2","4069","B","","","0"
"2015","Newfoundland and Labrador","2021A000210","Persons not in an economic family","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96419190","3.12.1.3","43600","C","","","0"
"2016","Newfoundland and Labrador","2021A000210","Persons not in an economic family","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96419190","3.12.1.3","50700","C","","","0"
"2017","Newfoundland and Labrador","2021A000210","Persons not in an economic family","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96419190","3.12.1.3","43100","C","","","0"
