"REF_DATE","GEO","DGUID","Housing estimates","Type of unit","Seasonal adjustment","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-04","Newfoundland and Labrador","2016A000210","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730443","3.1.2.1","163","","","","0"
"2019-07","Newfoundland and Labrador","2016A000210","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730443","3.1.2.1","237","","","","0"
"2019-10","Newfoundland and Labrador","2016A000210","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730443","3.1.2.1","245","","","","0"
"2020-01","Newfoundland and Labrador","2016A000210","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730443","3.1.2.1","39","","","","0"
"2020-04","Newfoundland and Labrador","2016A000210","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730443","3.1.2.1","111","","","","0"
"2020-07","Newfoundland and Labrador","2016A000210","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730443","3.1.2.1","219","","","","0"
"2020-10","Newfoundland and Labrador","2016A000210","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730443","3.1.2.1","237","","","","0"
"2021-01","Newfoundland and Labrador","2016A000210","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730443","3.1.2.1","121","","","","0"
"2021-04","Newfoundland and Labrador","2016A000210","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730443","3.1.2.1","248","","","","0"
"2021-07","Newfoundland and Labrador","2016A000210","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730443","3.1.2.1","211","","","","0"
"2021-10","Newfoundland and Labrador","2016A000210","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730443","3.1.2.1","161","","","","0"
"2022-01","Newfoundland and Labrador","2016A000210","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730443","3.1.2.1","170","","","","0"
"2022-04","Newfoundland and Labrador","2016A000210","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730443","3.1.2.1","314","","","","0"
"2022-07","Newfoundland and Labrador","2016A000210","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730443","3.1.2.1","330","","","","0"
"2022-10","Newfoundland and Labrador","2016A000210","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730443","3.1.2.1","192","","","","0"
"2023-01","Newfoundland and Labrador","2016A000210","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730443","3.1.2.1","82","","","","0"
"2023-04","Newfoundland and Labrador","2016A000210","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730443","3.1.2.1","184","","","","0"
"2023-07","Newfoundland and Labrador","2016A000210","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730443","3.1.2.1","283","","","","0"
"2023-10","Newfoundland and Labrador","2016A000210","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730443","3.1.2.1","139","","","","0"
"2024-01","Newfoundland and Labrador","2016A000210","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730443","3.1.2.1","158","","","","0"
"2024-04","Newfoundland and Labrador","2016A000210","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730443","3.1.2.1","316","","","","0"
"2024-07","Newfoundland and Labrador","2016A000210","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730443","3.1.2.1","321","","","","0"
"2024-10","Newfoundland and Labrador","2016A000210","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730443","3.1.2.1","280","","","","0"
"2025-01","Newfoundland and Labrador","2016A000210","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730443","3.1.2.1","96","","","","0"
"2025-04","Newfoundland and Labrador","2016A000210","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730443","3.1.2.1","304","","","","0"
"2025-07","Newfoundland and Labrador","2016A000210","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730443","3.1.2.1","317","","","","0"
