"REF_DATE","GEO","DGUID","Economic family type","Income source","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Nova Scotia","2021A000212","Economic families","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96420269","5.2.1.2","33656","A","","","0"
"2021","Nova Scotia","2021A000212","Economic families","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96420269","5.2.1.2","34524","A","","","0"
"2022","Nova Scotia","2021A000212","Economic families","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96420269","5.2.1.2","33645","A","","","0"
"2023","Nova Scotia","2021A000212","Economic families","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96420269","5.2.1.2","34696","A","","","0"
"2015","Nova Scotia","2021A000212","Economic families","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96420270","5.2.1.3","114000","A","","","0"
"2016","Nova Scotia","2021A000212","Economic families","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96420270","5.2.1.3","116500","B","","","0"
"2017","Nova Scotia","2021A000212","Economic families","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96420270","5.2.1.3","114100","A","","","0"
"2018","Nova Scotia","2021A000212","Economic families","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96420270","5.2.1.3","116300","A","","","0"
"2019","Nova Scotia","2021A000212","Economic families","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96420270","5.2.1.3","117000","A","","","0"
"2020","Nova Scotia","2021A000212","Economic families","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96420270","5.2.1.3","123300","A","","","0"
"2021","Nova Scotia","2021A000212","Economic families","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96420270","5.2.1.3","124800","A","","","0"
"2022","Nova Scotia","2021A000212","Economic families","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96420270","5.2.1.3","119500","A","","","0"
"2023","Nova Scotia","2021A000212","Economic families","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96420270","5.2.1.3","120800","A","","","0"
"2015","Nova Scotia","2021A000212","Economic families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96420271","5.2.1.4","98600","A","","","0"
"2016","Nova Scotia","2021A000212","Economic families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96420271","5.2.1.4","97700","B","","","0"
"2017","Nova Scotia","2021A000212","Economic families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96420271","5.2.1.4","97200","A","","","0"
"2018","Nova Scotia","2021A000212","Economic families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96420271","5.2.1.4","97800","A","","","0"
"2019","Nova Scotia","2021A000212","Economic families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96420271","5.2.1.4","102000","B","","","0"
"2020","Nova Scotia","2021A000212","Economic families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96420271","5.2.1.4","107900","A","","","0"
"2021","Nova Scotia","2021A000212","Economic families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96420271","5.2.1.4","108600","A","","","0"
"2022","Nova Scotia","2021A000212","Economic families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96420271","5.2.1.4","101700","A","","","0"
"2023","Nova Scotia","2021A000212","Economic families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96420271","5.2.1.4","105600","A","","","0"
"2015","Nova Scotia","2021A000212","Persons not in an economic family","Total income","Number with income","Number","223","thousands","3","v96420868","5.12.1.1","161","A","","","0"
"2016","Nova Scotia","2021A000212","Persons not in an economic family","Total income","Number with income","Number","223","thousands","3","v96420868","5.12.1.1","164","A","","","0"
"2017","Nova Scotia","2021A000212","Persons not in an economic family","Total income","Number with income","Number","223","thousands","3","v96420868","5.12.1.1","169","A","","","0"
"2018","Nova Scotia","2021A000212","Persons not in an economic family","Total income","Number with income","Number","223","thousands","3","v96420868","5.12.1.1","172","A","","","0"
"2019","Nova Scotia","2021A000212","Persons not in an economic family","Total income","Number with income","Number","223","thousands","3","v96420868","5.12.1.1","175","A","","","0"
"2020","Nova Scotia","2021A000212","Persons not in an economic family","Total income","Number with income","Number","223","thousands","3","v96420868","5.12.1.1","178","A","","","0"
"2021","Nova Scotia","2021A000212","Persons not in an economic family","Total income","Number with income","Number","223","thousands","3","v96420868","5.12.1.1","180","A","","","0"
"2022","Nova Scotia","2021A000212","Persons not in an economic family","Total income","Number with income","Number","223","thousands","3","v96420868","5.12.1.1","186","A","","","0"
