"REF_DATE","GEO","DGUID","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Montréal (CMA), Quebec","2016S0503462","Both sexes","All ages","Persons","249","units","0","v1060785691","44.1.1","4340642","","","","0"
"2022","Montréal (CMA), Quebec","2016S0503462","Both sexes","All ages","Persons","249","units","0","v1060785691","44.1.1","4378796","","","","0"
"2018","Ottawa - Gatineau (CMA), Ontario/Quebec","2016S0503505","Both sexes","All ages","Persons","249","units","0","v1060788331","52.1.1","1411032","","","","0"
"2019","Ottawa - Gatineau (CMA), Ontario/Quebec","2016S0503505","Both sexes","All ages","Persons","249","units","0","v1060788331","52.1.1","1438015","","","","0"
"2020","Ottawa - Gatineau (CMA), Ontario/Quebec","2016S0503505","Both sexes","All ages","Persons","249","units","0","v1060788331","52.1.1","1462582","","","","0"
"2021","Ottawa - Gatineau (CMA), Ontario/Quebec","2016S0503505","Both sexes","All ages","Persons","249","units","0","v1060788331","52.1.1","1474077","","","","0"
"2022","Ottawa - Gatineau (CMA), Ontario/Quebec","2016S0503505","Both sexes","All ages","Persons","249","units","0","v1060788331","52.1.1","1498610","","","","0"
"2018","Ottawa - Gatineau (CMA), Ontario part, Ontario","2016S050535505","Both sexes","All ages","Persons","249","units","0","v1060788661","53.1.1","1069895","","","","0"
"2019","Ottawa - Gatineau (CMA), Ontario part, Ontario","2016S050535505","Both sexes","All ages","Persons","249","units","0","v1060788661","53.1.1","1092267","","","","0"
"2020","Ottawa - Gatineau (CMA), Ontario part, Ontario","2016S050535505","Both sexes","All ages","Persons","249","units","0","v1060788661","53.1.1","1113242","","","","0"
"2021","Ottawa - Gatineau (CMA), Ontario part, Ontario","2016S050535505","Both sexes","All ages","Persons","249","units","0","v1060788661","53.1.1","1122589","","","","0"
"2022","Ottawa - Gatineau (CMA), Ontario part, Ontario","2016S050535505","Both sexes","All ages","Persons","249","units","0","v1060788661","53.1.1","1143407","","","","0"
"2018","Ottawa - Gatineau (CMA), Quebec part, Quebec","2016S050524505","Both sexes","All ages","Persons","249","units","0","v1060788991","54.1.1","341137","","","","0"
"2019","Ottawa - Gatineau (CMA), Quebec part, Quebec","2016S050524505","Both sexes","All ages","Persons","249","units","0","v1060788991","54.1.1","345748","","","","0"
"2020","Ottawa - Gatineau (CMA), Quebec part, Quebec","2016S050524505","Both sexes","All ages","Persons","249","units","0","v1060788991","54.1.1","349340","","","","0"
"2021","Ottawa - Gatineau (CMA), Quebec part, Quebec","2016S050524505","Both sexes","All ages","Persons","249","units","0","v1060788991","54.1.1","351488","","","","0"
"2022","Ottawa - Gatineau (CMA), Quebec part, Quebec","2016S050524505","Both sexes","All ages","Persons","249","units","0","v1060788991","54.1.1","355203","","","","0"
"2018","Kingston (CMA), Ontario","2016S0503521","Both sexes","All ages","Persons","249","units","0","v1060791301","61.1.1","172702","","","","0"
"2019","Kingston (CMA), Ontario","2016S0503521","Both sexes","All ages","Persons","249","units","0","v1060791301","61.1.1","174723","","","","0"
"2020","Kingston (CMA), Ontario","2016S0503521","Both sexes","All ages","Persons","249","units","0","v1060791301","61.1.1","176176","","","","0"
"2021","Kingston (CMA), Ontario","2016S0503521","Both sexes","All ages","Persons","249","units","0","v1060791301","61.1.1","176738","","","","0"
"2022","Kingston (CMA), Ontario","2016S0503521","Both sexes","All ages","Persons","249","units","0","v1060791301","61.1.1","180070","","","","0"
"2018","Belleville (CMA), Ontario","2016S0503522","Both sexes","All ages","Persons","249","units","0","v1060791631","62.1.1","109626","","","","0"
"2019","Belleville (CMA), Ontario","2016S0503522","Both sexes","All ages","Persons","249","units","0","v1060791631","62.1.1","111180","","","","0"
"2020","Belleville (CMA), Ontario","2016S0503522","Both sexes","All ages","Persons","249","units","0","v1060791631","62.1.1","113045","","","","0"
"2021","Belleville (CMA), Ontario","2016S0503522","Both sexes","All ages","Persons","249","units","0","v1060791631","62.1.1","113875","","","","0"
"2022","Belleville (CMA), Ontario","2016S0503522","Both sexes","All ages","Persons","249","units","0","v1060791631","62.1.1","116013","","","","0"
"2018","Peterborough (CMA), Ontario","2016S0503529","Both sexes","All ages","Persons","249","units","0","v1060792621","65.1.1","130256","","","","0"
"2019","Peterborough (CMA), Ontario","2016S0503529","Both sexes","All ages","Persons","249","units","0","v1060792621","65.1.1","130993","","","","0"
"2020","Peterborough (CMA), Ontario","2016S0503529","Both sexes","All ages","Persons","249","units","0","v1060792621","65.1.1","131665","","","","0"
"2021","Peterborough (CMA), Ontario","2016S0503529","Both sexes","All ages","Persons","249","units","0","v1060792621","65.1.1","132355","","","","0"
"2022","Peterborough (CMA), Ontario","2016S0503529","Both sexes","All ages","Persons","249","units","0","v1060792621","65.1.1","135005","","","","0"
"2018","Oshawa (CMA), Ontario","2016S0503532","Both sexes","All ages","Persons","249","units","0","v1060793611","68.1.1","405765","","","","0"
"2019","Oshawa (CMA), Ontario","2016S0503532","Both sexes","All ages","Persons","249","units","0","v1060793611","68.1.1","414531","","","","0"
"2020","Oshawa (CMA), Ontario","2016S0503532","Both sexes","All ages","Persons","249","units","0","v1060793611","68.1.1","424757","","","","0"
"2021","Oshawa (CMA), Ontario","2016S0503532","Both sexes","All ages","Persons","249","units","0","v1060793611","68.1.1","434673","","","","0"
"2022","Oshawa (CMA), Ontario","2016S0503532","Both sexes","All ages","Persons","249","units","0","v1060793611","68.1.1","447079","","","","0"
"2018","Toronto (CMA), Ontario","2016S0503535","Both sexes","All ages","Persons","249","units","0","v1060794271","70.1.1","6337780","","","","0"
"2019","Toronto (CMA), Ontario","2016S0503535","Both sexes","All ages","Persons","249","units","0","v1060794271","70.1.1","6462898","","","","0"
"2020","Toronto (CMA), Ontario","2016S0503535","Both sexes","All ages","Persons","249","units","0","v1060794271","70.1.1","6543886","","","","0"
"2021","Toronto (CMA), Ontario","2016S0503535","Both sexes","All ages","Persons","249","units","0","v1060794271","70.1.1","6547381","","","","0"
"2022","Toronto (CMA), Ontario","2016S0503535","Both sexes","All ages","Persons","249","units","0","v1060794271","70.1.1","6685621","","","","0"
"2018","Hamilton (CMA), Ontario","2016S0503537","Both sexes","All ages","Persons","249","units","0","v1060794601","71.1.1","785214","","","","0"
"2019","Hamilton (CMA), Ontario","2016S0503537","Both sexes","All ages","Persons","249","units","0","v1060794601","71.1.1","795410","","","","0"
"2020","Hamilton (CMA), Ontario","2016S0503537","Both sexes","All ages","Persons","249","units","0","v1060794601","71.1.1","806522","","","","0"
"2021","Hamilton (CMA), Ontario","2016S0503537","Both sexes","All ages","Persons","249","units","0","v1060794601","71.1.1","811396","","","","0"
"2022","Hamilton (CMA), Ontario","2016S0503537","Both sexes","All ages","Persons","249","units","0","v1060794601","71.1.1","821839","","","","0"
"2018","St. Catharines - Niagara (CMA), Ontario","2016S0503539","Both sexes","All ages","Persons","249","units","0","v1060794931","72.1.1","428383","","","","0"
"2019","St. Catharines - Niagara (CMA), Ontario","2016S0503539","Both sexes","All ages","Persons","249","units","0","v1060794931","72.1.1","433955","","","","0"
"2020","St. Catharines - Niagara (CMA), Ontario","2016S0503539","Both sexes","All ages","Persons","249","units","0","v1060794931","72.1.1","437080","","","","0"
"2021","St. Catharines - Niagara (CMA), Ontario","2016S0503539","Both sexes","All ages","Persons","249","units","0","v1060794931","72.1.1","441452","","","","0"
"2022","St. Catharines - Niagara (CMA), Ontario","2016S0503539","Both sexes","All ages","Persons","249","units","0","v1060794931","72.1.1","450501","","","","0"
"2018","Kitchener - Cambridge - Waterloo (CMA), Ontario","2016S0503541","Both sexes","All ages","Persons","249","units","0","v1060795261","73.1.1","567853","","","","0"
"2019","Kitchener - Cambridge - Waterloo (CMA), Ontario","2016S0503541","Both sexes","All ages","Persons","249","units","0","v1060795261","73.1.1","581607","","","","0"
"2020","Kitchener - Cambridge - Waterloo (CMA), Ontario","2016S0503541","Both sexes","All ages","Persons","249","units","0","v1060795261","73.1.1","593397","","","","0"
"2021","Kitchener - Cambridge - Waterloo (CMA), Ontario","2016S0503541","Both sexes","All ages","Persons","249","units","0","v1060795261","73.1.1","599816","","","","0"
"2022","Kitchener - Cambridge - Waterloo (CMA), Ontario","2016S0503541","Both sexes","All ages","Persons","249","units","0","v1060795261","73.1.1","622497","","","","0"
"2018","Brantford (CMA), Ontario","2016S0503543","Both sexes","All ages","Persons","249","units","0","v1060795591","74.1.1","147361","","","","0"
"2019","Brantford (CMA), Ontario","2016S0503543","Both sexes","All ages","Persons","249","units","0","v1060795591","74.1.1","149522","","","","0"
"2020","Brantford (CMA), Ontario","2016S0503543","Both sexes","All ages","Persons","249","units","0","v1060795591","74.1.1","151620","","","","0"
"2021","Brantford (CMA), Ontario","2016S0503543","Both sexes","All ages","Persons","249","units","0","v1060795591","74.1.1","154782","","","","0"
"2022","Brantford (CMA), Ontario","2016S0503543","Both sexes","All ages","Persons","249","units","0","v1060795591","74.1.1","158391","","","","0"
"2018","Guelph (CMA), Ontario","2016S0503550","Both sexes","All ages","Persons","249","units","0","v1060796911","78.1.1","162574","","","","0"
"2019","Guelph (CMA), Ontario","2016S0503550","Both sexes","All ages","Persons","249","units","0","v1060796911","78.1.1","165125","","","","0"
"2020","Guelph (CMA), Ontario","2016S0503550","Both sexes","All ages","Persons","249","units","0","v1060796911","78.1.1","167658","","","","0"
"2021","Guelph (CMA), Ontario","2016S0503550","Both sexes","All ages","Persons","249","units","0","v1060796911","78.1.1","169363","","","","0"
"2022","Guelph (CMA), Ontario","2016S0503550","Both sexes","All ages","Persons","249","units","0","v1060796911","78.1.1","172400","","","","0"
"2018","London (CMA), Ontario","2016S0503555","Both sexes","All ages","Persons","249","units","0","v1060797571","80.1.1","532421","","","","0"
"2019","London (CMA), Ontario","2016S0503555","Both sexes","All ages","Persons","249","units","0","v1060797571","80.1.1","542155","","","","0"
"2020","London (CMA), Ontario","2016S0503555","Both sexes","All ages","Persons","249","units","0","v1060797571","80.1.1","550605","","","","0"
"2021","London (CMA), Ontario","2016S0503555","Both sexes","All ages","Persons","249","units","0","v1060797571","80.1.1","557394","","","","0"
"2022","London (CMA), Ontario","2016S0503555","Both sexes","All ages","Persons","249","units","0","v1060797571","80.1.1","574238","","","","0"
"2018","Windsor (CMA), Ontario","2016S0503559","Both sexes","All ages","Persons","249","units","0","v1060798561","83.1.1","348304","","","","0"
"2019","Windsor (CMA), Ontario","2016S0503559","Both sexes","All ages","Persons","249","units","0","v1060798561","83.1.1","352538","","","","0"
"2020","Windsor (CMA), Ontario","2016S0503559","Both sexes","All ages","Persons","249","units","0","v1060798561","83.1.1","353572","","","","0"
"2021","Windsor (CMA), Ontario","2016S0503559","Both sexes","All ages","Persons","249","units","0","v1060798561","83.1.1","351213","","","","0"
"2022","Windsor (CMA), Ontario","2016S0503559","Both sexes","All ages","Persons","249","units","0","v1060798561","83.1.1","359672","","","","0"
"2018","Barrie (CMA), Ontario","2016S0503568","Both sexes","All ages","Persons","249","units","0","v1060800211","88.1.1","210098","","","","0"
"2019","Barrie (CMA), Ontario","2016S0503568","Both sexes","All ages","Persons","249","units","0","v1060800211","88.1.1","214350","","","","0"
"2020","Barrie (CMA), Ontario","2016S0503568","Both sexes","All ages","Persons","249","units","0","v1060800211","88.1.1","218377","","","","0"
"2021","Barrie (CMA), Ontario","2016S0503568","Both sexes","All ages","Persons","249","units","0","v1060800211","88.1.1","221954","","","","0"
"2022","Barrie (CMA), Ontario","2016S0503568","Both sexes","All ages","Persons","249","units","0","v1060800211","88.1.1","228979","","","","0"
"2018","Greater Sudbury (CMA), Ontario","2016S0503580","Both sexes","All ages","Persons","249","units","0","v1060801531","92.1.1","171452","","","","0"
"2019","Greater Sudbury (CMA), Ontario","2016S0503580","Both sexes","All ages","Persons","249","units","0","v1060801531","92.1.1","171968","","","","0"
"2020","Greater Sudbury (CMA), Ontario","2016S0503580","Both sexes","All ages","Persons","249","units","0","v1060801531","92.1.1","172476","","","","0"
"2021","Greater Sudbury (CMA), Ontario","2016S0503580","Both sexes","All ages","Persons","249","units","0","v1060801531","92.1.1","172832","","","","0"
"2022","Greater Sudbury (CMA), Ontario","2016S0503580","Both sexes","All ages","Persons","249","units","0","v1060801531","92.1.1","175357","","","","0"
"2018","Thunder Bay (CMA), Ontario","2016S0503595","Both sexes","All ages","Persons","249","units","0","v1060802851","96.1.1","126095","","","","0"
"2019","Thunder Bay (CMA), Ontario","2016S0503595","Both sexes","All ages","Persons","249","units","0","v1060802851","96.1.1","126526","","","","0"
"2020","Thunder Bay (CMA), Ontario","2016S0503595","Both sexes","All ages","Persons","249","units","0","v1060802851","96.1.1","126502","","","","0"
"2021","Thunder Bay (CMA), Ontario","2016S0503595","Both sexes","All ages","Persons","249","units","0","v1060802851","96.1.1","125070","","","","0"
"2022","Thunder Bay (CMA), Ontario","2016S0503595","Both sexes","All ages","Persons","249","units","0","v1060802851","96.1.1","125334","","","","0"
"2018","Winnipeg (CMA), Manitoba","2016S0503602","Both sexes","All ages","Persons","249","units","0","v1060803511","98.1.1","831823","","","","0"
"2019","Winnipeg (CMA), Manitoba","2016S0503602","Both sexes","All ages","Persons","249","units","0","v1060803511","98.1.1","844331","","","","0"
"2020","Winnipeg (CMA), Manitoba","2016S0503602","Both sexes","All ages","Persons","249","units","0","v1060803511","98.1.1","850558","","","","0"
"2021","Winnipeg (CMA), Manitoba","2016S0503602","Both sexes","All ages","Persons","249","units","0","v1060803511","98.1.1","858848","","","","0"
"2022","Winnipeg (CMA), Manitoba","2016S0503602","Both sexes","All ages","Persons","249","units","0","v1060803511","98.1.1","871778","","","","0"
"2018","Regina (CMA), Saskatchewan","2016S0503705","Both sexes","All ages","Persons","249","units","0","v1060805491","104.1.1","256317","","","","0"
"2019","Regina (CMA), Saskatchewan","2016S0503705","Both sexes","All ages","Persons","249","units","0","v1060805491","104.1.1","260914","","","","0"
"2020","Regina (CMA), Saskatchewan","2016S0503705","Both sexes","All ages","Persons","249","units","0","v1060805491","104.1.1","263236","","","","0"
"2021","Regina (CMA), Saskatchewan","2016S0503705","Both sexes","All ages","Persons","249","units","0","v1060805491","104.1.1","264375","","","","0"
"2022","Regina (CMA), Saskatchewan","2016S0503705","Both sexes","All ages","Persons","249","units","0","v1060805491","104.1.1","268804","","","","0"
"2018","Saskatoon (CMA), Saskatchewan","2016S0503725","Both sexes","All ages","Persons","249","units","0","v1060806811","108.1.1","323148","","","","0"
"2019","Saskatoon (CMA), Saskatchewan","2016S0503725","Both sexes","All ages","Persons","249","units","0","v1060806811","108.1.1","330413","","","","0"
"2020","Saskatoon (CMA), Saskatchewan","2016S0503725","Both sexes","All ages","Persons","249","units","0","v1060806811","108.1.1","336850","","","","0"
"2021","Saskatoon (CMA), Saskatchewan","2016S0503725","Both sexes","All ages","Persons","249","units","0","v1060806811","108.1.1","339870","","","","0"
"2022","Saskatoon (CMA), Saskatchewan","2016S0503725","Both sexes","All ages","Persons","249","units","0","v1060806811","108.1.1","347536","","","","0"
"2018","Lethbridge (CMA), Alberta","2016S0503810","Both sexes","All ages","Persons","249","units","0","v1060810111","118.1.1","124687","","","","0"
