"REF_DATE","GEO","DGUID","Economic family type","Income source","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015","New Brunswick","2021A000213","Economic families","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96421110","6.2.1.3","105900","A","","","0"
"2016","New Brunswick","2021A000213","Economic families","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96421110","6.2.1.3","108400","A","","","0"
"2017","New Brunswick","2021A000213","Economic families","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96421110","6.2.1.3","110800","A","","","0"
"2018","New Brunswick","2021A000213","Economic families","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96421110","6.2.1.3","115800","A","","","0"
"2019","New Brunswick","2021A000213","Economic families","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96421110","6.2.1.3","112900","A","","","0"
"2020","New Brunswick","2021A000213","Economic families","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96421110","6.2.1.3","121500","A","","","0"
"2021","New Brunswick","2021A000213","Economic families","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96421110","6.2.1.3","120600","A","","","0"
"2022","New Brunswick","2021A000213","Economic families","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96421110","6.2.1.3","114700","A","","","0"
"2023","New Brunswick","2021A000213","Economic families","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96421110","6.2.1.3","114600","A","","","0"
"2015","New Brunswick","2021A000213","Economic families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96421111","6.2.1.4","93500","B","","","0"
"2016","New Brunswick","2021A000213","Economic families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96421111","6.2.1.4","91700","B","","","0"
"2017","New Brunswick","2021A000213","Economic families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96421111","6.2.1.4","95700","A","","","0"
"2018","New Brunswick","2021A000213","Economic families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96421111","6.2.1.4","97000","A","","","0"
"2019","New Brunswick","2021A000213","Economic families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96421111","6.2.1.4","96300","A","","","0"
"2020","New Brunswick","2021A000213","Economic families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96421111","6.2.1.4","103600","A","","","0"
"2021","New Brunswick","2021A000213","Economic families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96421111","6.2.1.4","102900","A","","","0"
"2022","New Brunswick","2021A000213","Economic families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96421111","6.2.1.4","98700","A","","","0"
"2023","New Brunswick","2021A000213","Economic families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96421111","6.2.1.4","98400","A","","","0"
"2015","New Brunswick","2021A000213","Persons not in an economic family","Total income","Number with income","Number","223","thousands","3","v96421708","6.12.1.1","120","A","","","0"
"2016","New Brunswick","2021A000213","Persons not in an economic family","Total income","Number with income","Number","223","thousands","3","v96421708","6.12.1.1","123","A","","","0"
"2017","New Brunswick","2021A000213","Persons not in an economic family","Total income","Number with income","Number","223","thousands","3","v96421708","6.12.1.1","126","A","","","0"
"2018","New Brunswick","2021A000213","Persons not in an economic family","Total income","Number with income","Number","223","thousands","3","v96421708","6.12.1.1","129","A","","","0"
"2019","New Brunswick","2021A000213","Persons not in an economic family","Total income","Number with income","Number","223","thousands","3","v96421708","6.12.1.1","131","A","","","0"
"2020","New Brunswick","2021A000213","Persons not in an economic family","Total income","Number with income","Number","223","thousands","3","v96421708","6.12.1.1","133","A","","","0"
"2021","New Brunswick","2021A000213","Persons not in an economic family","Total income","Number with income","Number","223","thousands","3","v96421708","6.12.1.1","136","A","","","0"
"2022","New Brunswick","2021A000213","Persons not in an economic family","Total income","Number with income","Number","223","thousands","3","v96421708","6.12.1.1","141","A","","","0"
"2023","New Brunswick","2021A000213","Persons not in an economic family","Total income","Number with income","Number","223","thousands","3","v96421708","6.12.1.1","148","A","","","0"
"2015","New Brunswick","2021A000213","Persons not in an economic family","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96421709","6.12.1.2","4936","C","","","0"
"2016","New Brunswick","2021A000213","Persons not in an economic family","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96421709","6.12.1.2","4854","B","","","0"
"2017","New Brunswick","2021A000213","Persons not in an economic family","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96421709","6.12.1.2","5553","B","","","0"
"2018","New Brunswick","2021A000213","Persons not in an economic family","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96421709","6.12.1.2","5574","B","","","0"
"2019","New Brunswick","2021A000213","Persons not in an economic family","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96421709","6.12.1.2","5862","B","","","0"
"2020","New Brunswick","2021A000213","Persons not in an economic family","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96421709","6.12.1.2","6016","B","","","0"
"2021","New Brunswick","2021A000213","Persons not in an economic family","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96421709","6.12.1.2","6527","B","","","0"
"2022","New Brunswick","2021A000213","Persons not in an economic family","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96421709","6.12.1.2","6540","A","","","0"
"2023","New Brunswick","2021A000213","Persons not in an economic family","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96421709","6.12.1.2","6803","A","","","0"
"2015","New Brunswick","2021A000213","Persons not in an economic family","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96421710","6.12.1.3","41300","C","","","0"
"2016","New Brunswick","2021A000213","Persons not in an economic family","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96421710","6.12.1.3","39500","B","","","0"
