"REF_DATE","GEO","DGUID","Economic family type","Income source","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017","Prince Edward Island","2021A000211","Economic families","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96419429","4.2.1.2","4938","A","","","0"
"2018","Prince Edward Island","2021A000211","Economic families","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96419429","4.2.1.2","5059","A","","","0"
"2019","Prince Edward Island","2021A000211","Economic families","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96419429","4.2.1.2","5072","A","","","0"
"2020","Prince Edward Island","2021A000211","Economic families","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96419429","4.2.1.2","5481","A","","","0"
"2021","Prince Edward Island","2021A000211","Economic families","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96419429","4.2.1.2","5593","A","","","0"
"2022","Prince Edward Island","2021A000211","Economic families","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96419429","4.2.1.2","5720","A","","","0"
"2023","Prince Edward Island","2021A000211","Economic families","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96419429","4.2.1.2","5906","A","","","0"
"2015","Prince Edward Island","2021A000211","Economic families","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96419430","4.2.1.3","110100","B","","","0"
"2016","Prince Edward Island","2021A000211","Economic families","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96419430","4.2.1.3","106800","B","","","0"
"2017","Prince Edward Island","2021A000211","Economic families","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96419430","4.2.1.3","112200","A","","","0"
"2018","Prince Edward Island","2021A000211","Economic families","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96419430","4.2.1.3","113600","A","","","0"
"2019","Prince Edward Island","2021A000211","Economic families","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96419430","4.2.1.3","112500","A","","","0"
"2020","Prince Edward Island","2021A000211","Economic families","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96419430","4.2.1.3","120300","A","","","0"
"2021","Prince Edward Island","2021A000211","Economic families","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96419430","4.2.1.3","120000","A","","","0"
"2022","Prince Edward Island","2021A000211","Economic families","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96419430","4.2.1.3","119200","A","","","0"
"2023","Prince Edward Island","2021A000211","Economic families","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96419430","4.2.1.3","119100","A","","","0"
"2015","Prince Edward Island","2021A000211","Economic families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96419431","4.2.1.4","95700","B","","","0"
"2016","Prince Edward Island","2021A000211","Economic families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96419431","4.2.1.4","93000","B","","","0"
"2017","Prince Edward Island","2021A000211","Economic families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96419431","4.2.1.4","95100","B","","","0"
"2018","Prince Edward Island","2021A000211","Economic families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96419431","4.2.1.4","95300","A","","","0"
"2019","Prince Edward Island","2021A000211","Economic families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96419431","4.2.1.4","102200","B","","","0"
"2020","Prince Edward Island","2021A000211","Economic families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96419431","4.2.1.4","105300","B","","","0"
"2021","Prince Edward Island","2021A000211","Economic families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96419431","4.2.1.4","105600","B","","","0"
"2022","Prince Edward Island","2021A000211","Economic families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96419431","4.2.1.4","104700","A","","","0"
"2023","Prince Edward Island","2021A000211","Economic families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96419431","4.2.1.4","106100","A","","","0"
"2015","Prince Edward Island","2021A000211","Persons not in an economic family","Total income","Number with income","Number","223","thousands","3","v96420028","4.12.1.1","22","A","","","0"
"2016","Prince Edward Island","2021A000211","Persons not in an economic family","Total income","Number with income","Number","223","thousands","3","v96420028","4.12.1.1","23","A","","","0"
"2017","Prince Edward Island","2021A000211","Persons not in an economic family","Total income","Number with income","Number","223","thousands","3","v96420028","4.12.1.1","24","A","","","0"
"2018","Prince Edward Island","2021A000211","Persons not in an economic family","Total income","Number with income","Number","223","thousands","3","v96420028","4.12.1.1","25","A","","","0"
