"REF_DATE","GEO","DGUID","Housing estimates","Type of unit","Seasonal adjustment","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022-10","New Brunswick","2016A000213","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730491","6.1.4.1","827","","","","0"
"2023-01","New Brunswick","2016A000213","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730491","6.1.4.1","100","","","","0"
"2023-04","New Brunswick","2016A000213","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730491","6.1.4.1","856","","","","0"
"2023-07","New Brunswick","2016A000213","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730491","6.1.4.1","1200","","","","0"
"2023-10","New Brunswick","2016A000213","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730491","6.1.4.1","994","","","","0"
"2024-01","New Brunswick","2016A000213","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730491","6.1.4.1","554","","","","0"
"2024-04","New Brunswick","2016A000213","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730491","6.1.4.1","1216","","","","0"
"2024-07","New Brunswick","2016A000213","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730491","6.1.4.1","1605","","","","0"
"2024-10","New Brunswick","2016A000213","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730491","6.1.4.1","1220","","","","0"
"2025-01","New Brunswick","2016A000213","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730491","6.1.4.1","803","","","","0"
"2025-04","New Brunswick","2016A000213","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730491","6.1.4.1","1454","","","","0"
"2025-07","New Brunswick","2016A000213","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730491","6.1.4.1","1920","","","","0"
"2025-10","New Brunswick","2016A000213","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730491","6.1.4.1","1694","","","","0"
"2015-01","New Brunswick","2016A000213","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730458","6.1.3.1","2","","","","0"
"2015-04","New Brunswick","2016A000213","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730458","6.1.3.1","34","","","","0"
"2015-07","New Brunswick","2016A000213","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730458","6.1.3.1","97","","","","0"
"2015-10","New Brunswick","2016A000213","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730458","6.1.3.1","24","","","","0"
"2016-01","New Brunswick","2016A000213","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730458","6.1.3.1","2","","","","0"
"2016-04","New Brunswick","2016A000213","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730458","6.1.3.1","44","","","","0"
"2016-07","New Brunswick","2016A000213","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730458","6.1.3.1","44","","","","0"
"2016-10","New Brunswick","2016A000213","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730458","6.1.3.1","40","","","","0"
"2017-01","New Brunswick","2016A000213","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730458","6.1.3.1","2","","","","0"
"2017-04","New Brunswick","2016A000213","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730458","6.1.3.1","72","","","","0"
"2017-07","New Brunswick","2016A000213","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730458","6.1.3.1","73","","","","0"
"2017-10","New Brunswick","2016A000213","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730458","6.1.3.1","75","","","","0"
"2018-01","New Brunswick","2016A000213","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730458","6.1.3.1","4","","","","0"
