"REF_DATE","GEO","DGUID","Components of population growth","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024/2025","Canada","2021A00001124","Returning emigrants","Total - gender","All ages","Persons","249","units","0","v1589932533","1.6.1.1","54644","","","","0"
"2015/2016","Canada","2021A00001124","Net temporary emigration","Total - gender","All ages","Persons","249","units","0","v1589932875","1.7.1.1","26664","","","","0"
"2015/2016","Canada","2021A00001124","Net interprovincial migration","Total - gender","All ages","Persons","249","units","0","v1589933217","1.8.1.1","0","","","","0"
"2016/2017","Canada","2021A00001124","Net interprovincial migration","Total - gender","All ages","Persons","249","units","0","v1589933217","1.8.1.1","0","","","","0"
"2017/2018","Canada","2021A00001124","Net interprovincial migration","Total - gender","All ages","Persons","249","units","0","v1589933217","1.8.1.1","0","","","","0"
"2018/2019","Canada","2021A00001124","Net interprovincial migration","Total - gender","All ages","Persons","249","units","0","v1589933217","1.8.1.1","0","","","","0"
"2019/2020","Canada","2021A00001124","Net interprovincial migration","Total - gender","All ages","Persons","249","units","0","v1589933217","1.8.1.1","0","","","","0"
"2020/2021","Canada","2021A00001124","Net interprovincial migration","Total - gender","All ages","Persons","249","units","0","v1589933217","1.8.1.1","0","","","","0"
"2021/2022","Canada","2021A00001124","Net interprovincial migration","Total - gender","All ages","Persons","249","units","0","v1589933217","1.8.1.1","0","","","","0"
"2022/2023","Canada","2021A00001124","Net interprovincial migration","Total - gender","All ages","Persons","249","units","0","v1589933217","1.8.1.1","0","","","","0"
"2023/2024","Canada","2021A00001124","Net interprovincial migration","Total - gender","All ages","Persons","249","units","0","v1589933217","1.8.1.1","0","","","","0"
"2024/2025","Canada","2021A00001124","Net interprovincial migration","Total - gender","All ages","Persons","249","units","0","v1589933217","1.8.1.1","0","","","","0"
"2015/2016","Canada","2021A00001124","Net intraprovincial migration","Total - gender","All ages","Persons","249","units","0","v1589933559","1.9.1.1","0","","","","0"
"2016/2017","Canada","2021A00001124","Net intraprovincial migration","Total - gender","All ages","Persons","249","units","0","v1589933559","1.9.1.1","0","","","","0"
"2017/2018","Canada","2021A00001124","Net intraprovincial migration","Total - gender","All ages","Persons","249","units","0","v1589933559","1.9.1.1","0","","","","0"
"2018/2019","Canada","2021A00001124","Net intraprovincial migration","Total - gender","All ages","Persons","249","units","0","v1589933559","1.9.1.1","0","","","","0"
"2019/2020","Canada","2021A00001124","Net intraprovincial migration","Total - gender","All ages","Persons","249","units","0","v1589933559","1.9.1.1","0","","","","0"
"2020/2021","Canada","2021A00001124","Net intraprovincial migration","Total - gender","All ages","Persons","249","units","0","v1589933559","1.9.1.1","0","","","","0"
"2021/2022","Canada","2021A00001124","Net intraprovincial migration","Total - gender","All ages","Persons","249","units","0","v1589933559","1.9.1.1","0","","","","0"
"2022/2023","Canada","2021A00001124","Net intraprovincial migration","Total - gender","All ages","Persons","249","units","0","v1589933559","1.9.1.1","0","","","","0"
"2023/2024","Canada","2021A00001124","Net intraprovincial migration","Total - gender","All ages","Persons","249","units","0","v1589933559","1.9.1.1","0","","","","0"
"2024/2025","Canada","2021A00001124","Net intraprovincial migration","Total - gender","All ages","Persons","249","units","0","v1589933559","1.9.1.1","0","","","","0"
"2015/2016","Canada","2021A00001124","Net non-permanent residents","Total - gender","All ages","Persons","249","units","0","v1589933901","1.10.1.1","35448","","","","0"
"2016/2017","Canada","2021A00001124","Net non-permanent residents","Total - gender","All ages","Persons","249","units","0","v1589933901","1.10.1.1","103776","","","","0"
"2017/2018","Canada","2021A00001124","Net non-permanent residents","Total - gender","All ages","Persons","249","units","0","v1589933901","1.10.1.1","162573","","","","0"
"2018/2019","Canada","2021A00001124","Net non-permanent residents","Total - gender","All ages","Persons","249","units","0","v1589933901","1.10.1.1","168833","","","","0"
"2019/2020","Canada","2021A00001124","Net non-permanent residents","Total - gender","All ages","Persons","249","units","0","v1589933901","1.10.1.1","75265","","","","0"
"2020/2021","Canada","2021A00001124","Net non-permanent residents","Total - gender","All ages","Persons","249","units","0","v1589933901","1.10.1.1","-51719","","","","0"
"2021/2022","Canada","2021A00001124","Net non-permanent residents","Total - gender","All ages","Persons","249","units","0","v1589933901","1.10.1.1","224715","","","","0"
"2022/2023","Canada","2021A00001124","Net non-permanent residents","Total - gender","All ages","Persons","249","units","0","v1589933901","1.10.1.1","671525","","","","0"
"2023/2024","Canada","2021A00001124","Net non-permanent residents","Total - gender","All ages","Persons","249","units","0","v1589933901","1.10.1.1","781075","","","","0"
"2024/2025","Canada","2021A00001124","Net non-permanent residents","Total - gender","All ages","Persons","249","units","0","v1589933901","1.10.1.1","-14954","","","","0"
"2015/2016","Canada","2021A00001124","Residual deviation","Total - gender","All ages","Persons","249","units","0","v1589934243","1.11.1.1","-19456","","","","0"
"2016/2017","Canada","2021A00001124","Residual deviation","Total - gender","All ages","Persons","249","units","0","v1589934243","1.11.1.1","8245","","","","0"
"2017/2018","Canada","2021A00001124","Residual deviation","Total - gender","All ages","Persons","249","units","0","v1589934243","1.11.1.1","8244","","","","0"
"2018/2019","Canada","2021A00001124","Residual deviation","Total - gender","All ages","Persons","249","units","0","v1589934243","1.11.1.1","8246","","","","0"
"2019/2020","Canada","2021A00001124","Residual deviation","Total - gender","All ages","Persons","249","units","0","v1589934243","1.11.1.1","8268","","","","0"
"2020/2021","Canada","2021A00001124","Residual deviation","Total - gender","All ages","Persons","249","units","0","v1589934243","1.11.1.1","7091","","","","0"
"2015/2016","All census metropolitan areas and census agglomerations, Canada","","Births","Total - gender","All ages","Persons","249","units","0","v1590626301","2.1.1.1","321114","","","","0"
"2016/2017","All census metropolitan areas and census agglomerations, Canada","","Births","Total - gender","All ages","Persons","249","units","0","v1590626301","2.1.1.1","317548","","","","0"
"2017/2018","All census metropolitan areas and census agglomerations, Canada","","Births","Total - gender","All ages","Persons","249","units","0","v1590626301","2.1.1.1","314998","","","","0"
