"REF_DATE","GEO","DGUID","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Saint John (CMA), New Brunswick","2021S0503310","Total - gender","All ages","Persons","249","units","0","v1589866647","7.1.1","133140","","","","0"
"2022","Saint John (CMA), New Brunswick","2021S0503310","Total - gender","All ages","Persons","249","units","0","v1589866647","7.1.1","135443","","","","0"
"2023","Saint John (CMA), New Brunswick","2021S0503310","Total - gender","All ages","Persons","249","units","0","v1589866647","7.1.1","138854","","","","0"
"2024","Saint John (CMA), New Brunswick","2021S0503310","Total - gender","All ages","Persons","249","units","0","v1589866647","7.1.1","142905","","","","0"
"2025","Saint John (CMA), New Brunswick","2021S0503310","Total - gender","All ages","Persons","249","units","0","v1589866647","7.1.1","144543","","","","0"
"2015","Fredericton (CMA), New Brunswick","2021S0503320","Total - gender","All ages","Persons","249","units","0","v1589866992","8.1.1","103881","","","","0"
"2016","Fredericton (CMA), New Brunswick","2021S0503320","Total - gender","All ages","Persons","249","units","0","v1589866992","8.1.1","105291","","","","0"
"2017","Fredericton (CMA), New Brunswick","2021S0503320","Total - gender","All ages","Persons","249","units","0","v1589866992","8.1.1","106393","","","","0"
"2018","Fredericton (CMA), New Brunswick","2021S0503320","Total - gender","All ages","Persons","249","units","0","v1589866992","8.1.1","107592","","","","0"
"2019","Fredericton (CMA), New Brunswick","2021S0503320","Total - gender","All ages","Persons","249","units","0","v1589866992","8.1.1","109092","","","","0"
"2020","Fredericton (CMA), New Brunswick","2021S0503320","Total - gender","All ages","Persons","249","units","0","v1589866992","8.1.1","110168","","","","0"
"2021","Fredericton (CMA), New Brunswick","2021S0503320","Total - gender","All ages","Persons","249","units","0","v1589866992","8.1.1","111017","","","","0"
"2022","Fredericton (CMA), New Brunswick","2021S0503320","Total - gender","All ages","Persons","249","units","0","v1589866992","8.1.1","114480","","","","0"
"2023","Fredericton (CMA), New Brunswick","2021S0503320","Total - gender","All ages","Persons","249","units","0","v1589866992","8.1.1","118659","","","","0"
"2024","Fredericton (CMA), New Brunswick","2021S0503320","Total - gender","All ages","Persons","249","units","0","v1589866992","8.1.1","123308","","","","0"
"2025","Fredericton (CMA), New Brunswick","2021S0503320","Total - gender","All ages","Persons","249","units","0","v1589866992","8.1.1","125303","","","","0"
"2015","Saguenay (CMA), Quebec","2021S0503408","Total - gender","All ages","Persons","249","units","0","v1589871822","9.1.1","162058","","","","0"
"2016","Saguenay (CMA), Quebec","2021S0503408","Total - gender","All ages","Persons","249","units","0","v1589871822","9.1.1","162048","","","","0"
"2017","Saguenay (CMA), Quebec","2021S0503408","Total - gender","All ages","Persons","249","units","0","v1589871822","9.1.1","161824","","","","0"
"2018","Saguenay (CMA), Quebec","2021S0503408","Total - gender","All ages","Persons","249","units","0","v1589871822","9.1.1","161787","","","","0"
"2019","Saguenay (CMA), Quebec","2021S0503408","Total - gender","All ages","Persons","249","units","0","v1589871822","9.1.1","161894","","","","0"
"2020","Saguenay (CMA), Quebec","2021S0503408","Total - gender","All ages","Persons","249","units","0","v1589871822","9.1.1","162285","","","","0"
"2021","Saguenay (CMA), Quebec","2021S0503408","Total - gender","All ages","Persons","249","units","0","v1589871822","9.1.1","162376","","","","0"
"2022","Saguenay (CMA), Quebec","2021S0503408","Total - gender","All ages","Persons","249","units","0","v1589871822","9.1.1","164244","","","","0"
"2023","Saguenay (CMA), Quebec","2021S0503408","Total - gender","All ages","Persons","249","units","0","v1589871822","9.1.1","166557","","","","0"
"2024","Saguenay (CMA), Quebec","2021S0503408","Total - gender","All ages","Persons","249","units","0","v1589871822","9.1.1","169247","","","","0"
"2025","Saguenay (CMA), Quebec","2021S0503408","Total - gender","All ages","Persons","249","units","0","v1589871822","9.1.1","170192","","","","0"
"2015","Québec (CMA), Quebec","2021S0503421","Total - gender","All ages","Persons","249","units","0","v1589873202","10.1.1","805395","","","","0"
"2016","Québec (CMA), Quebec","2021S0503421","Total - gender","All ages","Persons","249","units","0","v1589873202","10.1.1","811724","","","","0"
"2017","Québec (CMA), Quebec","2021S0503421","Total - gender","All ages","Persons","249","units","0","v1589873202","10.1.1","817163","","","","0"
"2018","Québec (CMA), Quebec","2021S0503421","Total - gender","All ages","Persons","249","units","0","v1589873202","10.1.1","824428","","","","0"
"2019","Québec (CMA), Quebec","2021S0503421","Total - gender","All ages","Persons","249","units","0","v1589873202","10.1.1","832966","","","","0"
"2020","Québec (CMA), Quebec","2021S0503421","Total - gender","All ages","Persons","249","units","0","v1589873202","10.1.1","840396","","","","0"
"2021","Québec (CMA), Quebec","2021S0503421","Total - gender","All ages","Persons","249","units","0","v1589873202","10.1.1","844774","","","","0"
"2022","Québec (CMA), Quebec","2021S0503421","Total - gender","All ages","Persons","249","units","0","v1589873202","10.1.1","857697","","","","0"
"2023","Québec (CMA), Quebec","2021S0503421","Total - gender","All ages","Persons","249","units","0","v1589873202","10.1.1","875108","","","","0"
"2024","Québec (CMA), Quebec","2021S0503421","Total - gender","All ages","Persons","249","units","0","v1589873202","10.1.1","894691","","","","0"
"2025","Québec (CMA), Quebec","2021S0503421","Total - gender","All ages","Persons","249","units","0","v1589873202","10.1.1","903607","","","","0"
"2015","Sherbrooke (CMA), Quebec","2021S0503433","Total - gender","All ages","Persons","249","units","0","v1589874582","11.1.1","211010","","","","0"
"2016","Sherbrooke (CMA), Quebec","2021S0503433","Total - gender","All ages","Persons","249","units","0","v1589874582","11.1.1","213468","","","","0"
"2017","Sherbrooke (CMA), Quebec","2021S0503433","Total - gender","All ages","Persons","249","units","0","v1589874582","11.1.1","215730","","","","0"
"2018","Sherbrooke (CMA), Quebec","2021S0503433","Total - gender","All ages","Persons","249","units","0","v1589874582","11.1.1","218818","","","","0"
"2019","Sherbrooke (CMA), Quebec","2021S0503433","Total - gender","All ages","Persons","249","units","0","v1589874582","11.1.1","222318","","","","0"
"2020","Sherbrooke (CMA), Quebec","2021S0503433","Total - gender","All ages","Persons","249","units","0","v1589874582","11.1.1","225902","","","","0"
"2021","Sherbrooke (CMA), Quebec","2021S0503433","Total - gender","All ages","Persons","249","units","0","v1589874582","11.1.1","229294","","","","0"
"2022","Sherbrooke (CMA), Quebec","2021S0503433","Total - gender","All ages","Persons","249","units","0","v1589874582","11.1.1","233354","","","","0"
"2023","Sherbrooke (CMA), Quebec","2021S0503433","Total - gender","All ages","Persons","249","units","0","v1589874582","11.1.1","237466","","","","0"
"2024","Sherbrooke (CMA), Quebec","2021S0503433","Total - gender","All ages","Persons","249","units","0","v1589874582","11.1.1","242136","","","","0"
"2025","Sherbrooke (CMA), Quebec","2021S0503433","Total - gender","All ages","Persons","249","units","0","v1589874582","11.1.1","243911","","","","0"
"2015","Trois-Rivières (CMA), Quebec","2021S0503442","Total - gender","All ages","Persons","249","units","0","v1589875617","12.1.1","155740","","","","0"
"2016","Trois-Rivières (CMA), Quebec","2021S0503442","Total - gender","All ages","Persons","249","units","0","v1589875617","12.1.1","156729","","","","0"
"2017","Trois-Rivières (CMA), Quebec","2021S0503442","Total - gender","All ages","Persons","249","units","0","v1589875617","12.1.1","157615","","","","0"
"2018","Trois-Rivières (CMA), Quebec","2021S0503442","Total - gender","All ages","Persons","249","units","0","v1589875617","12.1.1","158164","","","","0"
"2019","Trois-Rivières (CMA), Quebec","2021S0503442","Total - gender","All ages","Persons","249","units","0","v1589875617","12.1.1","159395","","","","0"
"2020","Trois-Rivières (CMA), Quebec","2021S0503442","Total - gender","All ages","Persons","249","units","0","v1589875617","12.1.1","161361","","","","0"
"2021","Trois-Rivières (CMA), Quebec","2021S0503442","Total - gender","All ages","Persons","249","units","0","v1589875617","12.1.1","162531","","","","0"
"2022","Trois-Rivières (CMA), Quebec","2021S0503442","Total - gender","All ages","Persons","249","units","0","v1589875617","12.1.1","165780","","","","0"
"2023","Trois-Rivières (CMA), Quebec","2021S0503442","Total - gender","All ages","Persons","249","units","0","v1589875617","12.1.1","168438","","","","0"
